corrida,N_suelo,N_mult,I,Q,U,V,V_sobre_I
1,4899,2684,5.6379,-0.5618,-0.2085,-0.0304,-0.0053896
2,4867,2603,5.8579,-2.2591,0.2833,0.0119,0.0020343
3,4933,2580,6.2695,-1.4071,-0.1135,-0.0128,-0.0020466
4,4760,2556,6.2944,-2.2772,-0.8886,0.0279,0.0044371
5,4931,2556,6.1548,-1.9105,-0.5204,-0.0039,-0.00062662
6,4924,2668,7.9608,-3.2117,0.0013,0.0266,0.0033457
7,4861,2562,6.8735,-2.1286,-0.4283,0.0084,0.0012288
8,4836,2548,5.9146,-1.8536,-0.339,-0.0037,-0.00062118
9,4791,2576,5.8718,-1.4249,-0.1281,0.0495,0.0084238
10,4837,2499,6.957,-2.0717,-0.1747,0.0861,0.012375
11,4820,2587,5.5417,-1.8157,-0.2095,-0.0128,-0.0023025
12,4834,2524,6.3898,-2.2598,-0.2612,-0.0681,-0.01065
13,4863,2619,7.2209,-1.7174,-2.5518,0.0089,0.0012369
14,4726,2523,5.59,-2.5658,0.2389,0.0103,0.0018339
15,4868,2593,6.6057,-2.6343,0.6055,-0.0077,-0.0011686
16,4808,2503,7.7106,-2.2369,2.0898,-0.1793,-0.023255
17,4871,2596,6.6025,-2.6345,0.6068,-0.0072,-0.0010869
18,4867,2559,6.5495,-1.7133,-0.5088,0.0358,0.0054686
19,4867,2560,6.5469,-1.7126,-0.5087,0.0358,0.005467
20,4808,2502,7.7137,-2.2379,2.0907,-0.1794,-0.023254
21,4856,2577,6.4665,-2.8947,-0.25786,-0.052916,-0.0081831
22,4876,2617,7.8096,0.13131,-0.60535,0.10428,0.013352
23,4831,2536,19.969,-10.288,-9.8866,1.4667,0.073447
24,4924,2680,5.6884,-2.012,-0.079878,-0.025637,-0.0045068
25,4824,2537,6.6096,-2.3348,-0.34003,0.0031383,0.00047481
26,4866,2617,5.6579,-1.5921,0.046787,0.076,0.013433
27,4896,2631,16.481,7.0152,-2.7256,-0.41173,-0.024982
28,4880,2633,6.0171,-2.4724,0.46076,-0.0098955,-0.0016446
29,4917,2622,6.6296,-1.978,0.46291,-0.021949,-0.0033107
30,4826,2621,5.9751,-2.1533,0.48631,0.025903,0.0043352
31,4903,2623,9.7173,-4.0029,0.61771,0.28023,0.028839
32,4892,2632,6.2054,-2.4668,0.021422,-0.022307,-0.0035948
33,4880,2599,5.4075,-1.7669,0.63676,0.055114,0.010192
34,4965,2657,6.2192,-2.0739,-0.81338,0.0284,0.0045666
35,4943,2631,5.6084,-1.1823,0.30315,0.045585,0.008128
36,4946,2608,5.3176,-1.5897,0.67861,-0.05937,-0.011165
37,4851,2567,6.7319,-1.9846,-0.11066,-0.035983,-0.0053452
38,4927,2612,8.0811,-4.2869,0.16626,-0.075619,-0.0093575
39,4808,2540,5.6236,-1.7663,0.096959,0.0040939,0.00072798
40,4861,2557,6.6331,-3.0015,0.13708,0.054593,0.0082305
41,4962,2672,10.301,-4.3801,3.4105,-0.24813,-0.024089
42,4875,2554,7.6212,0.19861,-1.4053,0.26735,0.03508
43,4821,2559,5.8041,-1.1433,-0.044833,0.080201,0.013818
44,4963,2641,9.398,-4.4405,-1.0691,0.10249,0.010905
45,4812,2552,5.2947,-1.4554,-0.22653,0.0089884,0.0016976
46,4869,2604,7.4191,-3.3759,1.258,-0.0031853,-0.00042934
47,4841,2660,11.162,3.8768,0.39037,-0.15386,-0.013785
48,4857,2580,8.1701,-1.7535,-2.5923,0.21736,0.026604
49,4885,2529,7.5853,-0.18091,1.7596,0.022899,0.0030188
50,4848,2578,5.1582,-2.0671,-0.30484,-0.0095638,-0.0018541
51,4861,2572,9.5522,-1.5334,0.53807,0.048787,0.0051074
52,4833,2542,6.728,-2.6583,0.50786,0.029632,0.0044043
53,4905,2668,14.358,-6.2991,-2.8165,-0.09279,-0.0064625
54,4935,2566,6.4022,-2.588,-0.051714,0.0034702,0.00054202
55,4878,2587,6.1857,-1.973,-0.32863,0.045542,0.0073625
56,4956,2696,7.6192,1.0933,0.92818,0.19375,0.025429
57,4786,2561,5.072,-1.1896,0.39869,-0.036918,-0.0072788
58,4869,2613,4.7743,-0.98247,-0.53733,-0.015715,-0.0032916
59,4843,2613,8.3801,-2.2064,-2.099,-0.0075367,-0.00089936
60,4922,2694,8.2323,-4.0938,-0.0033107,-0.074325,-0.0090285
